Price,Title,Description,Variation Image Link,Variation name (color),Variation SKU,Category,Keep,Reason
14.99,-6 AN to M14x1.5mm Metric Adapter,"ColorFittings AN to Metric Adapter and Union Fittings are precision-engineered to connect metric female ports to AN flare fittings, providing a secure, leak-free solution for fuel, oil, coolant, and power steering plumbing systems.\n\nEach adapter is CNC machined from 6061-T6 billet aluminum and finished with ColorFittings' proprietary polishing and anodizing process for maximum strength, corrosion resistance, and long-term durability. These fittings are designed to withstand high pressure and high temperature environments commonly found in racing, street performance, marine, and aviation applications.\n\nOur AN to Metric Adapters are manufactured to provide a perfect fit and seal when paired with ColorFittings AN fittings, which are specifically engineered for use with E85, ethanol-based fuels, and race fuels. When combined with our nylon or stainless steel braided hose, these adapters deliver reliable performance and clean routing for any high-performance plumbing system.\n\nLooking to complete your system? Explore our full range of AN fittings, metric adapters, braided hose, and fitting assembly tools.",https://colorfittings.com/wp-content/uploads/2026/04/Flare-To-Metric-Adapter-Black-122.png,Black,CF-F2M-06-014-015-BL,Adapters and Unions,True,"Target AN Size (-6, -8, -10)"
16.99,-10 AN Male to -10 AN Female Extender,"ColorFittings -10AN Male to -10AN Female Extenders are precision CNC-machined to extend AN connections while maintaining a secure, leak-free 37-degree flare seal. Ideal for fuel, oil, coolant, transmission, and power steering systems, these extenders provide additional clearance for tight engine bays, custom plumbing, and performance applications.\nManufactured from aerospace-grade 6061-T6 billet aluminum and finished with ColorFittings' proprietary polishing and anodizing process, these AN extenders offer superior strength, corrosion resistance, and long-term durability. The precision-machined 37-degree AN flare seats ensure a reliable seal in high-pressure and high-temperature environments.\nCompatible with E85, ethanol-based fuels, race fuel, pump gas, diesel, oil, coolant, transmission fluid, hydraulic fluid, and air systems, these AN extension fittings are perfect for street performance, racing, off-road, marine, and custom fabrication projects.\nLooking to complete your system? Explore our full range of AN fittings, metric adapters, braided hose, and fitting assembly tools.",https://colorfittings.com/wp-content/uploads/2026/07/10-AN-Extender-Black.png,Black,CF-M2F-10-E10-000-BL,Adapters and Unions,True,"Target AN Size (-6, -8, -10)"
20.99,"-6 AN to 1/4"" NPT Male 90 Degree Swivel Adapter","ColorFittings AN to NPT Male 90 Degree Swivel Adapter Fittings are precision CNC-machined to connect 37-degree AN hose ends to NPT threaded ports while providing a compact 90-degree routing solution. The swivel design allows for easy clocking and precise alignment, making these adapters ideal for fuel, oil, coolant, boost, transmission, and power steering systems where space is limited.\nManufactured from aerospace-grade 6061-T6 billet aluminum and finished with ColorFittings' proprietary polishing and anodizing process, these adapters deliver superior strength, corrosion resistance, and long-term durability. Precision-cut tapered NPT threads provide a secure mechanical seal (thread sealant recommended), while the true 37-degree AN flare ensures a reliable, leak-free connection in high-pressure and high-temperature environments.\nCompatible with E85, ethanol-based fuels, race fuel, pump gas, diesel, oil, coolant, transmission fluid, hydraulic fluid, and air systems, these AN to NPT 90° swivel fittings are ideal for street performance, racing, off-road, marine, and custom fabrication projects.\nLooking to complete your system? Explore our full range of AN fittings, NPT adapters, braided hose, and fitting assembly tools.\n\n&nbsp;",https://colorfittings.com/wp-content/uploads/2026/07/NPT-Male-90-Swivel-Black.png,Black,CF-F2N-06-014-S90-BL,NPT Adapters,True,"Target AN Size (-6, -8, -10)"
9.99,-8 AN to -8 AN ORB Adapter,"ColorFittings ORB Adapter Fittings are precision-engineered to connect AN flare fittings to O-Ring Boss (ORB) ports, providing a secure, leak-free solution for fuel, oil, coolant, power steering, and transmission plumbing systems. ORB ports are found on engine blocks, transmissions, power steering pumps, oil coolers, and other OEM components — making these adapters essential for any AN plumbing conversion.\n\nOur AN to ORB Adapters are manufactured to provide a perfect fit and seal when paired with ColorFittings AN fittings, which are specifically engineered for use with E85, ethanol-based fuels, and race fuels. The O-ring face seal design eliminates the need for thread sealant and provides a more reliable, vibration-resistant connection compared to NPT threads. When combined with our nylon or stainless steel braided hose, these adapters deliver reliable performance and clean routing for any high-performance plumbing system.\n\nFor best installation results, we strongly recommend using our AN Fitting Assembly Tools, which help prevent fitting damage and ensure proper hose and fitting alignment. Please reference our installation video and fitting guide for proper assembly techniques and torque recommendations.\n\nLooking to complete your system? Explore our full range of AN fittings, ORB adapters, braided hose, and fitting assembly tools.",https://colorfittings.com/wp-content/uploads/2026/04/ORB-Teal-Fitting-Adapter.png,Teal,CF-F2S-08-008-000-TL,ORB Adapters,True,"Target AN Size (-6, -8, -10)"
15.99,"-6 AN to 1/8"" NPT 45 Degree Elbow Adapter","ColorFittings AN to NPT 45 Degree Elbow Adapter Fittings are precision-engineered to connect AN flare fittings to NPT ports, providing a secure, leak-free solution for fuel, oil, coolant, and power steering plumbing systems.\n\nOur AN to NPT Adapters are manufactured to provide a perfect fit and seal when paired with ColorFittings AN fittings, which are specifically engineered for use with E85, ethanol-based fuels, and race fuels. When combined with our nylon or stainless steel braided hose, these adapters deliver reliable performance and clean routing for any high-performance plumbing system.\n\nFor best installation results, we strongly recommend using our AN Fitting Assembly Tools, which help prevent fitting damage and ensure proper hose and fitting alignment. Please reference our installation video and fitting guide for proper assembly techniques and torque recommendations.\n\nLooking to complete your system? Explore our full range of AN fittings, NPT adapters, braided hose, and fitting assembly tools.",https://colorfittings.com/wp-content/uploads/2026/04/45-Degree-NPT-Adapter-Black-27.png,black,CF-F2N-06-018-045-BL,Adapters and Unions,True,"Target AN Size (-6, -8, -10)"
15.99,"6 AN to 1/8"" NPT Adapter 90 Degree Elbow Adapter","ColorFittings AN to NPT 90 Degree Elbow Adapter Fittings are precision-engineered to connect AN flare fittings to NPT ports, providing a secure, leak-free solution for fuel, oil, coolant, and power steering plumbing systems.\n\nOur AN to NPT Adapters are manufactured to provide a perfect fit and seal when paired with ColorFittings AN fittings, which are specifically engineered for use with E85, ethanol-based fuels, and race fuels. When combined with our nylon or stainless steel braided hose, these adapters deliver reliable performance and clean routing for any high-performance plumbing system.\n\nFor best installation results, we strongly recommend using our AN Fitting Assembly Tools, which help prevent fitting damage and ensure proper hose and fitting alignment. Please reference our installation video and fitting guide for proper assembly techniques and torque recommendations.\n\nLooking to complete your system? Explore our full range of AN fittings, NPT adapters, braided hose, and fitting assembly tools.\n\n&nbsp;",https://colorfittings.com/wp-content/uploads/2026/04/90-Degree-NPT-Adapter-Black-23.png,Black,CF-F2N-06-018-090-BL,NPT Adapters,True,"Target AN Size (-6, -8, -10)"
46.99,-16 AN 30 Degree Female Aluminum Hose End Fitting,"ColorFittings Standard AN Hose Ends are precision-engineered for high-pressure fuel, oil, coolant, brake, clutch, and power steering applications. Designed for use with nylon or stainless steel braided hose, these AN fittings provide a secure, leak-free 37-degree flare seal for street performance, racing, marine, and motorsport plumbing systems.\n\nEach hose end is CNC-machined from aerospace-grade 6061-T6 billet aluminum and finished with ColorFittings' proprietary polishing and anodizing process for superior strength, corrosion resistance, and long-term durability. Compatible with E85, ethanol, race fuel, pump gas, oil, coolant, brake fluid, transmission fluid, and hydraulic systems, these fittings are built to handle high-pressure, high-temperature environments.\n\nLooking to complete your setup? Check out our full range of Standard Hose, Hose Separators, and AN Fitting Assembly Tools.",https://colorfittings.com/wp-content/uploads/2025/08/Black-30-Degree-Female-Hose-End.png,Black,CF-FHE-16-030-000-BL,Hose Fittings,True,"Target AN Size (-6, -8, -10)"
15.99,"-6 AN to 1/4"" NPT 45 Degree Elbow Adapter","ColorFittings AN to NPT 45 Degree Elbow Adapter Fittings are precision-engineered to connect AN flare fittings to NPT ports, providing a secure, leak-free solution for fuel, oil, coolant, and power steering plumbing systems.\n\nOur AN to NPT Adapters are manufactured to provide a perfect fit and seal when paired with ColorFittings AN fittings, which are specifically engineered for use with E85, ethanol-based fuels, and race fuels. When combined with our nylon or stainless steel braided hose, these adapters deliver reliable performance and clean routing for any high-performance plumbing system.\n\nFor best installation results, we strongly recommend using our AN Fitting Assembly Tools, which help prevent fitting damage and ensure proper hose and fitting alignment. Please reference our installation video and fitting guide for proper assembly techniques and torque recommendations.\n\nLooking to complete your system? Explore our full range of AN fittings, NPT adapters, braided hose, and fitting assembly tools.",https://colorfittings.com/wp-content/uploads/2026/04/45-Degree-NPT-Adapter-Black-19.png,black,CF-F2N-06-014-045-BL,Adapters and Unions,True,"Target AN Size (-6, -8, -10)"
15.99,"-6 AN to 1/4"" NPT 90 Degree Elbow Adapter","ColorFittings AN to NPT 90 Degree Elbow Adapter Fittings are precision-engineered to connect AN flare fittings to NPT ports, providing a secure, leak-free solution for fuel, oil, coolant, and power steering plumbing systems.\n\nOur AN to NPT Adapters are manufactured to provide a perfect fit and seal when paired with ColorFittings AN fittings, which are specifically engineered for use with E85, ethanol-based fuels, and race fuels. When combined with our nylon or stainless steel braided hose, these adapters deliver reliable performance and clean routing for any high-performance plumbing system.\n\nFor best installation results, we strongly recommend using our AN Fitting Assembly Tools, which help prevent fitting damage and ensure proper hose and fitting alignment. Please reference our installation video and fitting guide for proper assembly techniques and torque recommendations.\n\nLooking to complete your system? Explore our full range of AN fittings, NPT adapters, braided hose, and fitting assembly tools.",https://colorfittings.com/wp-content/uploads/2026/04/90-Degree-NPT-Adapter-Black-24.png,black,CF-F2N-06-014-090-BL,Adapters and Unions,True,"Target AN Size (-6, -8, -10)"
31.28,-10 AN 120 Degree Female Aluminum Hose End Fitting,"ColorFittings Standard AN Hose Ends are precision-engineered for high-pressure fuel, oil, coolant, brake, clutch, and power steering applications. Designed for use with nylon or stainless steel braided hose, these AN fittings provide a secure, leak-free 37-degree flare seal for street performance, racing, marine, and motorsport plumbing systems.\n\nEach hose end is CNC-machined from aerospace-grade 6061-T6 billet aluminum and finished with ColorFittings' proprietary polishing and anodizing process for superior strength, corrosion resistance, and long-term durability. Compatible with E85, ethanol, race fuel, pump gas, oil, coolant, brake fluid, transmission fluid, and hydraulic systems, these fittings are built to handle high-pressure, high-temperature environments.\n\nLooking to complete your setup? Check out our full range of Standard Hose, Hose Separators, and AN Fitting Assembly Tools.",https://colorfittings.com/wp-content/uploads/2026/04/Purple-120-Degree-Female-Hose-End.png,Purple,CF-FHE-10-120-000-PU,Hose Fittings,True,"Target AN Size (-6, -8, -10)"
