SKU,Title,Vendor,Sales_Rank,Category,MSRP,MAP_Price,Wholesale_Cost,Image_URL,UPC_Barcode
TS-0101-1101,All New Boost Tee Manual Boost Controller Blue,Turbosmart,AAA,Universal,124.99,112.491,99.992,https://830533.app.netsuite.com//core/media/media.nl?id=25084959&c=830533&h=iXuQY-HOIcZC-rwN51tt7-nJ2hnIfBVM0d2cpGhGpk7GTmRU,9329677024708
TS-0101-1102,All New Boost Tee Manual Boost Controller Black,Turbosmart,AAA,Universal,124.99,112.491,99.992,https://830533.app.netsuite.com//core/media/media.nl?id=25085566&c=830533&h=O8apZ1ama_hb3NVqM9Sen-qdguPmNQDv0NCk6Sho-3273j3s,9329677024074
TS-0101-2023,Boost Gauge 30psi 52mm,Turbosmart,AAA,Universal,69.99,62.991,55.992,https://830533.app.netsuite.com//core/media/media.nl?id=15025912&c=830533&h=vco6h81_DZ7WgX3xA2ahjni80a0vrWwIuvafJu04eISLcBao,9329677009620
TS-0105-1101,Dual Stage Boost Controller V2 - Blue,Turbosmart,AA,Universal,314.99,283.491,251.992,https://830533.app.netsuite.com//core/media/media.nl?id=15003950&c=830533&h=2dyk8ijiQ07JI-MmfvFkMlgBE5fhEfXlk4d75IJ3RDCbGBjh,9329677018264
TS-0105-1102,Dual Stage Boost Controller V2 - Black,Turbosmart,AA,Universal,314.99,283.491,251.992,https://830533.app.netsuite.com//core/media/media.nl?id=15003951&c=830533&h=RgZLaQDoOIqhRIpRjNblRxDz6ots522WFmreOVY67tj-XuHu,9329677018271
TS-0203-1022,BOV Kompact Dual Port-25mm,Turbosmart,AAA,Universal,253.99,228.591,203.192,https://830533.app.netsuite.com//core/media/media.nl?id=24853216&c=830533&h=xslEqhHw9WOWiVU3dNFPv-592Z59_gQNfM7rHd3JQADv_rG4,9329677009651
TS-0203-1023,BOV Kompact Dual Port-34mm,Turbosmart,AAA,Universal,253.99,228.591,203.192,https://830533.app.netsuite.com//core/media/media.nl?id=24853222&c=830533&h=mu6cDhZGEbOaNr9CnnEBj2lUo4bZH5reeiiTE6gGLzE3EaC7,9329677009910
TS-0223-1082,BOV Kompact EM Dual Port VR19 - Ecoboost + Ranger Raptor Bronco ALL,Turbosmart,AAA,Domestic,350.99,315.891,280.792,https://830533.app.netsuite.com//core/media/media.nl?id=21099429&c=830533&h=FnNXeepNlHil_Ogno5XNR3-HfMVrY2gcIPpqVxQbhyGEPWmx,9329677024807
TS-0225-1001,BOV EM F-150,Turbosmart,AAA,Domesitc,425.99,383.391,340.792,https://830533.app.netsuite.com//core/media/media.nl?id=23559680&c=830533&h=zUQze1pzKVrqKzTjLzzfXRbnlJpYkaib1UVUOJ-p9tybzxjX,9329677022513
TS-0302-1002,eBS eBoost Street 40psi,Turbosmart,AAA,Universal,509.99,458.991,407.992,https://830533.app.netsuite.com//core/media/media.nl?id=217&c=830533&h=goMPBaB7qD8St1q_eJ5WF3A630Ky1PUqOBLpKZEZr3xv86TS,9329677009729
TS-0402-2023,FPR Gauge 0-100psi,Turbosmart,AAA,Universal,36.99,33.291,29.592,https://830533.app.netsuite.com//core/media/media.nl?id=274&c=830533&h=ucuxRkCEbr882H6fRZRRJwfuXwElUvAwWqTjYmGXcT09DJzZ,9329677007015
TS-0404-1022,FPR6 - Fuel Pressure Regulator - Black,Turbosmart,AA,Universal,242.99,218.691,194.392,https://830533.app.netsuite.com//core/media/media.nl?id=24163955&c=830533&h=zt3FJn_ZtC03rosLWgMxMSzbxQCnzpFTIs8_466KsO5ei39j,9329677024517
TS-0404-1032,FPR8 - Fuel Pressure Regulator - Black,Turbosmart,AA,Universal,274.99,247.491,219.992,https://830533.app.netsuite.com//core/media/media.nl?id=24164478&c=830533&h=YO0NVd-sU0_6iCqFOVRw7wKPkeY08bAEF0Or43uGGwj8ckUm,9329677024562
TS-0404-1042,FPR10 - Fuel Pressure Regulator - Black,Turbosmart,AA,Universal,296.99,267.291,237.592,https://830533.app.netsuite.com//core/media/media.nl?id=24164170&c=830533&h=DKXjgKKhsr4txMxlVFlKqR7UYkuoNVy8F6bPyoSPtKTmwK3u,9329677024616
TS-0552-1002,GenV WG40 CompGate40 7psi Black,Turbosmart,AA,Universal,437.99,394.191,350.392,https://830533.app.netsuite.com//core/media/media.nl?id=23593949&c=830533&h=JdAuuAVg5JS9CRe8xafpEEwdYotc6GK1O4AAEv3yHOc14zW3,9329677018622
TS-0552-1012,GenV WG40 CompGate40 14psi Black,Turbosmart,AAA,Universal,437.99,394.191,350.392,https://830533.app.netsuite.com//core/media/media.nl?id=23594057&c=830533&h=kS39jkPYb2jYNCGDWV2VG5qyOLQC2iKoUK048R9DdE6ejZCf,9329677018646
TS-0553-1012,GenV WG45 HyperGate45 14psi Black,Turbosmart,AAA,Universal,518.99,467.091,415.192,https://830533.app.netsuite.com//core/media/media.nl?id=23594672&c=830533&h=r8y-BIr-T_HktgOuMwX97MBcNmr5b_xrH4yQ2iCAPJG_DOxl,9329677018769
,,,,,,,,,
Out of stock,Listed on website,,,,,,,,
in stock,unlisted ,,,,,,,,
